5032,45 
5036,45 
5038,45 
5039,45
5040,45 
5041,45 
5043,45
5045,45
5046,45
5047,45 
5051,45 
5052,45
5053,45
5116,45
5117,45
5119,45 
5120,45
5124,45 
5125,45 
5126,45 
5127,45
5128,45 
5129,45 
5130,45 
5137,45 
5138,45
5139,45 
5153,45
5158,45
5159,45
5160,45 
5162,45 
5163,45 
5164,45 
5165,45
5166,45 
5167,45 
5168,45 
5169,45 
5180,45 
5181,45
5182,45 
5183,45 
5189,45
5190,45 
5191,45 
5193,45
5194,45
5195,45
5196,45
5197,45 
5198,45 
5199,45
5200,45
5201,45
5202,45
5203,45 
5204,45
5205,45
5206,45 
5208,45 
5211,45
5212,45 
5215,45 
5216,45 
5219,0
5220,0
5221,45 
5222,45
5223,45 
5225,45 
5229,45
5230,45 
5231,45 
5232,45 
5233,45 
5234,45 
5235,45 
5237,45 
5238,45 
5239,45 
5247,45 
5248,45 
5249,45 
5250,45 
5252,45
5253,45
5257,45
5258,45
5259,45
5261,45 
5262,45 
5300,150 
5301,150 
5302,140 
5303,45 
5304,45 
5305,45
5306,45 
5307,45 
5310,45
5311,45 
5315,45 
5316,45 
5317,45 
5318,45 
5319,45 
5320,45
5323,45
5324,45
5325,45
5333,45 
5334,45
5335,40
5336,40
5339,40
5340,50
5341,40
5342,50 
5343,50 
5344,50 
5345,50 
5346,45
5347,45 
5349,45
5351,45
5354,45
5355,45
5356,50 
5357,50 
5358,50
5359,50
5360,50 
5361,50
5362,50
5366,50
5367,45 
5368,55 
5369,55
5370,55
5371,55
5372,55
5373,55 
5374,55
5375,55 
5376,55 
5377,55 
5378,55
5379,55 
5380,55 
5381,55 
5382,55 
5383,55 
5386,55 
5390,55
5391,55
5392,55
5393,55
5394,55
5398,55
5399,55 
5400,55 
5401,55 
5402,55 
5403,55 
5404,55 
5406,55
5407,55 
5418,5 
5419,5 
5422,40
5423,40
5424,40 
5425,40 
5426,40 
5428,40 
5429,40
5430,40
5431,40
5432,40 
5434,40 
5435,40
5436,40
5437,40
5438,40 
5439,40 
5440,40 
5441,40 
5442,40 
5443,5 
5444,20 
5445,40 
5447,40 
5448,40 
5449,40 
5450,40 
5451,40 
5452,40
5453,40 
5454,40
5455,40 
5456,40 
5457,16 
5460,40 
5462,40 
5464,40 
5465,40 
5466,40 
5467,40 
5468,40 
5469,40 
5470,40
5471,40
5472,40 
5473,40 
5474,40
5475,40
5476,40
5478,40
5479,40
5480,40
5481,40
5482,40 
5483,40
5485,40
5486,40
5487,40
5495,40
5496,40
5497,40
5498,40
5499,40 
5500,40 
5504,40 
5505,50
5507,50 
5516,50
5517,50
5518,50
5519,50
5520,50 
5521,50 
5522,50 
5523,50 
5524,50 
5525,50
5526,50 
5527,50
5528,50
5530,50
5532,50
5533,50
5534,50 
5535,50 
5536,50
5537,50
5538,50
5540,50 
5541,50 
5542,50 
5543,50 
5544,50 
5545,50 
5546,50
5547,50 
5548,50 
5549,50 
5550,50 
5551,50
5552,50
5554,50 
5555,50 
5556,50 
5557,50 
5558,50 
5559,50 
5561,50
5562,50 
5564,5 
5565,5
5566,5 
5567,50 
5569,50
5570,50 
5571,50 
5572,50 
5573,50 
5574,50 
5577,50 
5578,50 
5581,50 
5584,10 
5586,100
5589,140 
5590,140 
5591,50 
5592,50 
5594,50 
5595,70 
5597,50 
5598,50 
5600,50 
5601,50 
5602,50 
5603,50 
5604,50 
5606,50
5607,50
5610,5 
5611,50 
5612,50 
5613,50 
5614,50 
5615,5 
5616,50
5617,50
5618,50
5619,50
5620,5
5621,50 
5623,50 
5624,50 
5625,50 
5626,50 
5627,50 
5628,50 
5629,50 
5630,50
5631,50
5632,50
5633,50
5634,50
5635,50
5637,50
5638,50
5639,50
5641,50
5643,50 
5644,50 
5645,50 
5646,50 
5647,50
5648,50
5649,50
5650,50
5651,50
5652,50
5654,50
5655,50
5656,50
5662,50 
5663,50
5664,50
5665,50
5666,50
