integrated_bin,volume
1,0.0012372496045335044
2,0.0030935258336005265
3,0.004640635506831523
4,0.006186254356118311
5,0.006185914460925936
6,0.001848289423911583
7,0.0027712566206965655
8,0.003693531585384574
9,0.0014074335088082267
10,0.0035185837720205673
11,0.005277875658030852
12,0.007037167544041133
13,0.007037167544041137
14,0.0018015148912745305
15,0.004503787228186327
16,0.006755680842279492
17,0.009007574456372652
18,0.009007574456372658
19,0.002080188606349727
20,0.005202002986498259
21,0.007799336651726094
22,0.010401271948959642
23,0.010401417956111852
24,0.001859822850925157
25,0.004649557127312894
26,0.0069743356909693415
27,0.009299114254625785
28,0.00929911425462579
29,0.0023805732491842015
30,0.005951433122960505
31,0.00892714968444076
32,0.011902866245921007
33,0.011902866245921014
34,0.004240396100109359
35,0.010600990250273399
36,0.015901485375410102
37,0.021201980500546794
38,0.021201980500546804
39,0.021201980500546794
40,0.0035955202859994633
41,0.008993407896062315
42,0.013493725714695457
43,0.01798430783960838
44,0.017982734113306625
45,0.0024630086404143965
46,0.006157521601035993
47,0.00923628240155399
48,0.01231504320207198
49,0.012315043202071989
50,0.01231504320207198
51,0.0031526510597304283
52,0.007881627649326073
53,0.01182244147398911
54,0.015763255298652138
55,0.01576325529865215
56,0.015763255298652138
57,0.005615659700144824
58,0.014039149250362063
59,0.021058723875543098
60,0.02807829850072412
61,0.028078298500724137
62,0.02807829850072412
63,0.007364395834839045
64,0.01841098958709762
65,0.027616484380646428
66,0.036821979174195225
67,0.03682197917419524
68,0.036821979174195225
69,0.01574672663263088
70,0.023635305084762748
71,0.0314988862928712
72,0.03148565174696846
73,0.00802790744150669
74,0.012041600585998978
75,0.01605591460973057
76,0.01605553339631162
77,0.01029437080728304
78,0.01544155621092456
79,0.020588741614566072
80,0.020588741614566083
81,0.020588741614566072
82,0.018336848000472913
83,0.02750527200070937
84,0.03667369600094582
85,0.03667369600094583
86,0.03667369600094582
87,0.02404700680763772
88,0.03607051021145658
89,0.04809401361527542
90,0.04809401361527545
91,0.04809401361527542
92,0.03156672298327027
93,0.0473500844749054
94,0.06313344596654051
95,0.06313344596654055
96,0.06313344596654051
97,0.027217896677571633
98,0.040843679431097894
99,0.05445581803761988
100,0.05445275007384502
101,0.012453526552521703
102,0.018680051473885982
103,0.024902830000269254
104,0.025498684763166846
105,0.03824951887598643
106,0.050999358501315234
107,0.050999358501315255
108,0.050999358501315234
109,0.03339552865129111
110,0.05016055326280677
111,0.06688073768374234
112,0.06688073768374238
113,0.06688073768374234
114,0.04370481252431933
115,0.06584621122291527
116,0.08779494829722032
117,0.08779494829722037
118,0.08779494829722032
119,0.0864808200902237
120,0.11530776012029822
121,0.1153077601202983
122,0.11530776012029822
123,0.07836311694022469
124,0.10443899363969197
125,0.05001790668143804
126,0.06688073768374238
127,0.06688073768374242
128,0.06688073768374238
129,0.0650965191850368
130,0.08779494829722037
131,0.08779494829722041
132,0.08779494829722037
133,0.08454409942046721
134,0.1153077601202983
135,0.11530776012029836
136,0.1153077601202983
137,0.11628832263326977
138,0.16049140230128822
139,0.16049140230128833
140,0.11473785612147856
141,0.13317211258567135
142,0.1400941711293628
143,0.1749050293959581
144,0.174905029395958
145,0.18101978183213022
146,0.243439069078295
147,0.24344201472667304
148,0.00031975706573320685
149,0.00042633605894867903
150,0.0010656362705748503
151,0.001598500775769843
152,0.0021314863705120743
153,0.0021310445369212747
154,0.002131790677742872
155,4.3979029893897355e-05
156,0.0010555751316061702
157,0.0014074335088082267
158,0.0035185837720205673
159,0.005277875658030852
160,0.007037167544041133
161,0.007037167544041137
162,0.007037167544041133
163,0.000927992198864485
164,0.006186195243910943
165,0.0005544345382037556
166,0.000739040317937757
167,0.0036926848733856766
168,0.003694283717851681
169,8.149846475400183e-05
170,0.0010555751316061702
171,0.0014074335088082267
172,0.0035185837720205673
173,0.005277875658030852
174,0.007037167544041133
175,0.007037167544041137
176,0.007037167544041133
177,0.0010555751316061702
178,0.007037167544041133
179,0.001351136168455898
180,0.009007574456372652
181,0.0015598786418883287
182,0.010404163211468118
183,0.018824617850601758
184,0.001394867138193868
185,0.001859822850925157
186,0.004649557127312894
187,0.0069743356909693415
188,0.009299114254625785
189,0.00929911425462579
190,0.009299114254625785
191,0.001394867138193868
192,0.009299114254625785
193,0.01683139680087268
194,0.0017854299368881515
195,0.011902866245921007
196,0.021544187905117033
197,0.00318029707508202
198,0.038375584705989715
199,0.0026975152174451215
200,0.017991428534058607
201,0.032549020504817734
202,0.0024630086404143965
203,0.006157521601035993
204,0.00923628240155399
205,0.01231504320207198
206,0.012315043202071989
207,0.01231504320207198
208,0.022290228195750297
209,0.0018472564803107977
210,0.022290228195750297
211,0.0023644882947978212
212,0.028531492090560388
213,0.004211744775108619
214,0.05082172028631068
215,0.005523296876129285
216,0.06664778230529339
217,0.004724809742389288
218,0.006301302759920812
219,0.03149599093385157
220,0.056996098784982914
221,0.000447908524392103
222,0.001712007910697907
223,0.00428091651295181
224,0.006421848873458253
225,0.008554313309727982
226,0.008552991126477427
227,0.0032112002936968524
228,0.01605576662815022
229,0.029061100634049566
230,0.0030883112421849113
231,0.0041177483229132145
232,0.03726562232236461
233,0.007334739200189164
234,0.06637938976171195
235,0.009618802723055086
236,0.08705016464364856
237,0.012626689193308104
238,0.11427153719943837
239,0.010889490323497564
240,0.05442192947559837
241,0.09853283817253039
242,0.0011935626573050726
243,0.0011597728327760585
244,0.0028961920569055347
245,0.004348735430732876
246,0.005790690845636265
247,0.005801273212525292
248,0.0042570780057569054
249,0.024905667354053123
250,0.024900568133983444
251,0.045077330113611376
252,0.007663892899234194
253,0.09230883888738062
254,0.009389982001985972
255,0.12105413520757369
256,0.011681641128837015
257,0.15890885641796887
258,0.057189454994712605
259,0.20870704581773988
260,0.0512838881164203
261,0.10445979332543028
262,0.10444748363487372
263,0.1891478984176709
264,0.012480073418600262
265,0.03164076700459353
266,0.042187612840420254
267,0.04218334929404957
268,0.042188219732786435
269,0.07638757651199524
270,0.015416795884770403
271,0.12105413520757377
272,0.017580512591019143
273,0.15890885641796895
274,0.02058621151061719
275,0.20870704581774002
276,0.026069059827154583
277,0.16049140230128822
278,0.29048943816533185
279,0.05348626665905603
280,0.07472521393189215
281,0.07472942909597673
282,0.07473148708785327
283,0.13525760383712032
284,0.024119883516175136
285,0.08239386230830656
286,0.08800116402110802
287,0.08797047590734214
288,0.1592804175609479
289,0.02514432978568786
290,0.13317211258567127
291,0.24104152378006516
292,0.02674311454603977
293,0.31657810320668417
294,0.030928741968339574
295,0.4406300466552784
296,0.01423244093676754
297,0.08868916409997941
298,0.12528299548250332
299,0.12536839643415418
300,0.2269167975458192
301,0.05883533308728787
302,0.08939587709471858
303,0.060094981331981406
304,0.12320712943724192
305,0.2252109127349203
306,0.11597969652341884
