,integrated_binnum,phi_binnum,phi_width
2493,136,3,1
2494,136,4,3
2495,136,7,1
2496,136,8,1
2497,136,9,1
2498,136,10,2
2499,136,12,1
2500,136,13,1
2501,136,14,2
2502,136,16,1
2503,136,17,2
2504,136,19,3
2505,136,22,2
2506,137,0,1
2507,137,1,1
2508,137,2,1
2509,137,3,1
2510,137,4,1
2511,137,5,1
2512,137,6,2
2513,137,8,2
2514,137,10,2
2515,137,12,2
2516,137,14,2
2517,137,16,2
2518,137,18,1
2519,137,19,1
2520,137,20,2
2521,137,22,1
2522,137,23,1
2523,138,0,1
2524,138,1,1
2525,138,2,1
2526,138,3,1
2527,138,4,1
2528,138,5,1
2529,138,6,1
2530,138,7,1
2531,138,8,1
2532,138,9,1
2533,138,10,2
2534,138,12,1
2535,138,13,1
2536,138,14,2
2537,138,16,1
2538,138,17,1
2539,138,18,1
2540,138,19,1
2541,138,20,2
2542,138,22,1
2543,138,23,1
2544,139,0,1
2545,139,1,1
2546,139,2,2
2547,139,4,2
2548,139,6,1
2549,139,7,1
2550,139,8,1
2551,139,9,1
2552,139,10,1
2553,139,11,2
2554,139,13,1
2555,139,14,2
2556,139,16,1
2557,139,17,1
2558,139,18,1
2559,139,19,1
2560,139,20,2
2561,139,22,1
2562,139,23,1
2563,140,0,2
2564,140,2,2
2565,140,4,2
2566,140,6,1
2567,140,7,1
2568,140,8,1
2569,140,9,2
2570,140,11,1
2571,140,12,1
2572,140,13,2
2573,140,15,2
2574,140,17,1
2575,140,18,2
2576,140,20,1
2577,140,21,2
2578,140,23,1
2579,141,0,2
2580,141,2,2
2581,141,4,3
2582,141,7,1
2583,141,8,1
2584,141,9,2
2585,141,11,1
2586,141,12,1
2587,141,13,2
2588,141,15,2
2589,141,17,2
2590,141,19,1
2591,141,20,2
2592,141,22,1
2593,141,23,1
2594,142,0,2
2595,142,2,2
2596,142,4,3
2597,142,7,1
2598,142,8,1
2599,142,9,2
2600,142,11,1
2601,142,12,1
2602,142,13,2
2603,142,15,2
2604,142,17,2
2605,142,19,1
2606,142,20,3
2607,142,23,1
2608,143,0,1
2609,143,1,1
2610,143,2,1
2611,143,3,2
2612,143,5,1
2613,143,6,1
2614,143,7,1
2615,143,8,1
2616,143,9,1
2617,143,10,3
2618,143,13,2
2619,143,15,1
2620,143,16,2
2621,143,18,1
2622,143,19,1
2623,143,20,2
2624,143,22,1
2625,143,23,1
2626,144,0,1
2627,144,1,2
2628,144,3,2
2629,144,5,1
2630,144,6,1
2631,144,7,1
2632,144,8,1
2633,144,9,1
2634,144,10,1
2635,144,11,1
2636,144,12,2
2637,144,14,2
2638,144,16,1
2639,144,17,2
2640,144,19,2
2641,144,21,2
2642,144,23,1
2643,145,0,1
2644,145,1,1
2645,145,2,1
2646,145,3,1
2647,145,4,1
2648,145,5,1
2649,145,6,1
2650,145,7,1
2651,145,8,2
2652,145,10,3
2653,145,13,3
2654,145,16,2
2655,145,18,2
2656,145,20,2
2657,145,22,2
2658,146,0,1
2659,146,1,1
2660,146,2,1
2661,146,3,1
2662,146,4,1
2663,146,5,1
2664,146,6,1
2665,146,7,1
2666,146,8,1
2667,146,9,2
2668,146,11,2
2669,146,13,2
2670,146,15,1
2671,146,16,1
2672,146,17,2
2673,146,19,1
2674,146,20,1
2675,146,21,2
2676,146,23,1
2677,147,0,2
2678,147,2,2
2679,147,4,1
2680,147,5,1
2681,147,6,1
2682,147,7,1
2683,147,8,1
2684,147,9,2
2685,147,11,2
2686,147,13,2
2687,147,15,1
2688,147,16,1
2689,147,17,2
2690,147,19,2
2691,147,21,2
2692,147,23,1
